question_id,structure_cluster,topic_name,model,is_correct
1,Замена слова,Шум,gemma-3,False
1,Замена слова,Шум,QwQ,False
1,Замена слова,Шум,Phi-4,False
1,Замена слова,Шум,Llama-4,False
1,Замена слова,Шум,Qwen3,False
1,Замена слова,Шум,DeepSeek-R1,False
1,Замена слова,Шум,DeepSeek-V3,False
2,Замена ДЕЛАТЬ ЭТО,Произведения и персонажи,gemma-3,False
2,Замена ДЕЛАТЬ ЭТО,Произведения и персонажи,QwQ,False
2,Замена ДЕЛАТЬ ЭТО,Произведения и персонажи,Phi-4,False
2,Замена ДЕЛАТЬ ЭТО,Произведения и персонажи,Llama-4,False
2,Замена ДЕЛАТЬ ЭТО,Произведения и персонажи,Qwen3,False
2,Замена ДЕЛАТЬ ЭТО,Произведения и персонажи,DeepSeek-R1,False
2,Замена ДЕЛАТЬ ЭТО,Произведения и персонажи,DeepSeek-V3,False
3,Пропуск,Музыка,gemma-3,False
3,Пропуск,Музыка,QwQ,False
3,Пропуск,Музыка,Phi-4,False
3,Пропуск,Музыка,Llama-4,False
3,Пропуск,Музыка,Qwen3,False
3,Пропуск,Музыка,DeepSeek-R1,True
3,Пропуск,Музыка,DeepSeek-V3,True
4,Замена ДЕЛАТЬ ЭТО,Шум,gemma-3,True
4,Замена ДЕЛАТЬ ЭТО,Шум,QwQ,False
4,Замена ДЕЛАТЬ ЭТО,Шум,Phi-4,False
4,Замена ДЕЛАТЬ ЭТО,Шум,Llama-4,False
4,Замена ДЕЛАТЬ ЭТО,Шум,Qwen3,False
4,Замена ДЕЛАТЬ ЭТО,Шум,DeepSeek-R1,True
4,Замена ДЕЛАТЬ ЭТО,Шум,DeepSeek-V3,False
5,Другое,Произведения и персонажи,gemma-3,False
5,Другое,Произведения и персонажи,QwQ,False
5,Другое,Произведения и персонажи,Phi-4,False
5,Другое,Произведения и персонажи,Llama-4,False
5,Другое,Произведения и персонажи,Qwen3,False
5,Другое,Произведения и персонажи,DeepSeek-R1,True
5,Другое,Произведения и персонажи,DeepSeek-V3,False
6,Другое,Спорт и игры,gemma-3,False
6,Другое,Спорт и игры,QwQ,False
6,Другое,Спорт и игры,Phi-4,False
6,Другое,Спорт и игры,Llama-4,False
6,Другое,Спорт и игры,Qwen3,False
6,Другое,Спорт и игры,DeepSeek-R1,False
6,Другое,Спорт и игры,DeepSeek-V3,False
7,Ответ из N слов,Шум,gemma-3,False
7,Ответ из N слов,Шум,QwQ,False
7,Ответ из N слов,Шум,Phi-4,False
7,Ответ из N слов,Шум,Llama-4,False
7,Ответ из N слов,Шум,Qwen3,False
7,Ответ из N слов,Шум,DeepSeek-R1,False
7,Ответ из N слов,Шум,DeepSeek-V3,False
8,Другое,Шум,gemma-3,True
8,Другое,Шум,QwQ,False
8,Другое,Шум,Phi-4,False
8,Другое,Шум,Llama-4,False
8,Другое,Шум,Qwen3,False
8,Другое,Шум,DeepSeek-R1,True
8,Другое,Шум,DeepSeek-V3,True
9,Замена ТАКОЙ_ТАКАЯ,Спорт и игры,gemma-3,False
9,Замена ТАКОЙ_ТАКАЯ,Спорт и игры,QwQ,False
9,Замена ТАКОЙ_ТАКАЯ,Спорт и игры,Phi-4,False
9,Замена ТАКОЙ_ТАКАЯ,Спорт и игры,Llama-4,False
9,Замена ТАКОЙ_ТАКАЯ,Спорт и игры,Qwen3,False
9,Замена ТАКОЙ_ТАКАЯ,Спорт и игры,DeepSeek-R1,False
9,Замена ТАКОЙ_ТАКАЯ,Спорт и игры,DeepSeek-V3,False
10,Замена ОН_ОНА_ОНИ,Спорт и игры,gemma-3,False
10,Замена ОН_ОНА_ОНИ,Спорт и игры,QwQ,False
10,Замена ОН_ОНА_ОНИ,Спорт и игры,Phi-4,False
10,Замена ОН_ОНА_ОНИ,Спорт и игры,Llama-4,False
10,Замена ОН_ОНА_ОНИ,Спорт и игры,Qwen3,False
10,Замена ОН_ОНА_ОНИ,Спорт и игры,DeepSeek-R1,False
10,Замена ОН_ОНА_ОНИ,Спорт и игры,DeepSeek-V3,False
11,Замена ОН_ОНА_ОНИ,Спорт и игры,gemma-3,False
11,Замена ОН_ОНА_ОНИ,Спорт и игры,QwQ,False
11,Замена ОН_ОНА_ОНИ,Спорт и игры,Phi-4,False
11,Замена ОН_ОНА_ОНИ,Спорт и игры,Llama-4,False
11,Замена ОН_ОНА_ОНИ,Спорт и игры,Qwen3,False
11,Замена ОН_ОНА_ОНИ,Спорт и игры,DeepSeek-R1,False
11,Замена ОН_ОНА_ОНИ,Спорт и игры,DeepSeek-V3,False
12,Ответ из N слов,"Кино, сериалы и актеры",gemma-3,False
12,Ответ из N слов,"Кино, сериалы и актеры",QwQ,False
12,Ответ из N слов,"Кино, сериалы и актеры",Phi-4,False
12,Ответ из N слов,"Кино, сериалы и актеры",Llama-4,False
12,Ответ из N слов,"Кино, сериалы и актеры",Qwen3,False
12,Ответ из N слов,"Кино, сериалы и актеры",DeepSeek-R1,False
12,Ответ из N слов,"Кино, сериалы и актеры",DeepSeek-V3,False
13,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
13,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
13,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
13,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
13,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
13,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,True
13,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,True
14,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
14,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
14,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
14,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
14,Замена ОН_ОНА_ОНИ,Шум,Qwen3,False
14,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-R1,True
14,Замена ОН_ОНА_ОНИ,Шум,DeepSeek-V3,True
21,Замена ОН_ОНА_ОНИ,Музыка,gemma-3,False
21,Замена ОН_ОНА_ОНИ,Музыка,QwQ,False
21,Замена ОН_ОНА_ОНИ,Музыка,Phi-4,False
21,Замена ОН_ОНА_ОНИ,Музыка,Llama-4,False
21,Замена ОН_ОНА_ОНИ,Музыка,Qwen3,False
21,Замена ОН_ОНА_ОНИ,Музыка,DeepSeek-R1,False
21,Замена ОН_ОНА_ОНИ,Музыка,DeepSeek-V3,False
22,Другое,Технологии,gemma-3,False
22,Другое,Технологии,QwQ,False
22,Другое,Технологии,Phi-4,False
22,Другое,Технологии,Llama-4,False
22,Другое,Технологии,Qwen3,False
22,Другое,Технологии,DeepSeek-R1,False
22,Другое,Технологии,DeepSeek-V3,True
23,Ответ из N слов,Музыка,gemma-3,False
23,Ответ из N слов,Музыка,QwQ,False
23,Ответ из N слов,Музыка,Phi-4,False
23,Ответ из N слов,Музыка,Llama-4,False
23,Ответ из N слов,Музыка,Qwen3,False
23,Ответ из N слов,Музыка,DeepSeek-R1,False
23,Ответ из N слов,Музыка,DeepSeek-V3,False
24,Замена ОН_ОНА_ОНИ,Шум,gemma-3,False
24,Замена ОН_ОНА_ОНИ,Шум,QwQ,False
24,Замена ОН_ОНА_ОНИ,Шум,Phi-4,False
24,Замена ОН_ОНА_ОНИ,Шум,Llama-4,False
